,,,,,,,,,,,,,,ClusterLabel
28.0,1526756389.985593,38803.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
29.0,1526756394.0,38804.0,59353.0,2.993339,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
30.0,1526756341.958671,123.0,123.0,0.017674,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
31.0,1526756342.0,123.0,123.0,0.014011,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
32.0,1526756341.959109,123.0,123.0,0.018252,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
33.0,1526756400.995683,38804.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
34.0,1526756405.0,38807.0,59353.0,2.992238,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
35.0,1526756412.005627,38807.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
36.0,1526756416.014432,38808.0,59353.0,2.991271,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
37.0,1526756423.015696,38808.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
38.0,1526756427.025539,38809.0,59353.0,2.990213,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
39.0,1526756374.958937,123.0,123.0,0.018314,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
40.0,1526756434.025775,38809.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
41.0,1526756438.036595,38810.0,59353.0,2.999201,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
42.0,1526756445.045833,38810.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
43.0,1526756449.047686,38811.0,59353.0,2.998286,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
44.0,1526756456.055884,38811.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
45.0,1526756460.058681,38812.0,59353.0,2.997323,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
46.0,1526756407.958986,123.0,123.0,0.012828,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
47.0,1526756408.959017,123.0,123.0,0.009598,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
48.0,1526756409.958993,123.0,123.0,0.013885,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
49.0,1526756403.0,45623.0,2407.0,64.045412,92.0,190.0,0.0,0.0,0.0,8.0,516.0,10.0,670.0,o
50.0,1526756467.065928,38812.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
51.0,1526756471.069639,38813.0,59353.0,2.996469,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
52.0,1526756478.076001,38813.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
53.0,1526756482.080781,38814.0,59353.0,2.995284,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
54.0,1526756489.0,38814.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
55.0,1526756493.091715,38815.0,59353.0,2.994395,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
56.0,1526756440.959207,123.0,123.0,0.013094,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
57.0,1526756500.096106,38815.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
58.0,1526756504.102736,38816.0,59353.0,2.993343,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
59.0,1526756511.106177,38816.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
60.0,1526756515.106867,38817.0,59353.0,2.999298,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
61.0,1526756522.116217,38817.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
62.0,1526756526.117992,38818.0,59353.0,2.998251,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
63.0,1526756474.959318,123.0,123.0,0.015365,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
64.0,1526756475.959432,123.0,123.0,0.00987,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
65.0,1526756477.959385,123.0,123.0,0.02243,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
66.0,1526756533.126204,38818.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
67.0,1526756537.129033,38819.0,59353.0,2.997321,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
68.0,1526756544.136259,38819.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
69.0,1526756548.137022,38820.0,59353.0,2.999265,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
70.0,1526756555.146294,38820.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
71.0,1526756261.843526,61530.0,22.0,0.077261,36.0,280.0,0.0,0.0,0.0,5.0,296.0,4.0,488.0,o
72.0,1526756559.148005,38821.0,59353.0,2.99834,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
73.0,1526756508.959422,123.0,123.0,0.016475,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
74.0,1526756566.156378,38821.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
75.0,1526756570.159021,38822.0,59353.0,2.997381,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
76.0,1526756577.166409,38822.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
77.0,1526756581.170071,38823.0,59353.0,2.996482,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
78.0,1526756588.176495,38823.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
79.0,1526756592.181203,38824.0,59353.0,2.995403,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
80.0,1526756542.959677,123.0,123.0,0.014171,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
81.0,1526756542.959919,123.0,123.0,0.011087,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
82.0,1526756599.186525,38824.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
83.0,1526756545.959696,123.0,123.0,0.012331,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
84.0,1526756603.192214,38825.0,59353.0,2.994456,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
85.0,1526756610.196691,38825.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
86.0,1526756614.203202,38826.0,59353.0,2.993451,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
87.0,1526756621.206722,38826.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
88.0,1526756625.207411,38827.0,59353.0,2.999268,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
89.0,1526756576.959754,123.0,123.0,0.015773,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
90.0,1526756632.216771,38827.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
91.0,1526756636.218448,38828.0,59353.0,2.998259,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
92.0,1526756643.226846,38828.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
93.0,1526756647.229617,38829.0,59353.0,2.99713,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
94.0,1526756654.236885,38829.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
95.0,1526756658.240564,38830.0,59353.0,2.996291,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
96.0,1526756608.959921,123.0,123.0,0.016996,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
97.0,1526756609.960031,123.0,123.0,0.010776,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
98.0,1526756665.246914,38830.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
99.0,1526756613.960059,123.0,123.0,0.012389,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
100.0,1526756669.251758,38831.0,59353.0,2.995068,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
101.0,1526756676.256795,38831.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
102.0,1526756680.262701,38832.0,59353.0,2.994171,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
103.0,1526756687.266863,38832.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
104.0,1526756691.273651,38833.0,59353.0,2.993327,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
105.0,1526756698.0,38833.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
106.0,1526756643.960173,123.0,123.0,0.01412,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
107.0,1526756702.284673,38834.0,59353.0,2.992311,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
108.0,1526756709.287032,38834.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
109.0,1526756713.295657,38835.0,59353.0,2.991334,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
110.0,1526756720.296915,38835.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
111.0,1526756724.306591,38836.0,59353.0,2.990379,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
112.0,1526756674.960246,123.0,123.0,0.018012,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
113.0,1526756731.306966,38836.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
114.0,1526756678.960209,123.0,123.0,0.00933,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
115.0,1526756679.960187,123.0,123.0,0.01508,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
116.0,1526756735.317873,38837.0,59353.0,2.999287,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
117.0,1526756742.327092,38837.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
118.0,1526756746.328811,38838.0,59353.0,2.998223,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
119.0,1526756753.337009,38838.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
120.0,1526756757.0,38839.0,59353.0,2.997342,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
121.0,1526756764.347117,38839.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
122.0,1526756712.960314,123.0,123.0,0.086409,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
123.0,1526756768.350789,38840.0,59353.0,2.996358,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
124.0,1526756775.357094,38840.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
125.0,1526756779.361823,38841.0,59353.0,2.995709,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
126.0,1526756786.367226,38841.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
127.0,1526756790.372826,38842.0,59353.0,2.994232,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
128.0,1526756740.960402,123.0,123.0,0.016901,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
129.0,1526756797.377096,38842.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
130.0,1526756745.960463,123.0,123.0,0.012528,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
131.0,1526756801.383924,38843.0,59353.0,2.993285,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
132.0,1526756747.960451,123.0,123.0,0.022427,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
133.0,1526756808.387197,38843.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
134.0,1526756812.387857,38844.0,59353.0,2.999362,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
135.0,1526756819.397248,38844.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
136.0,1526756823.397857,38845.0,59353.0,2.999331,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
137.0,1526756830.407262,38845.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
138.0,1526756834.408766,38846.0,59353.0,2.998379,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
139.0,1526756780.960392,123.0,123.0,0.012767,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
140.0,1526756841.0,38846.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
141.0,1526756845.419679,38847.0,59353.0,2.997492,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
142.0,1526756852.427218,38847.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
143.0,1526756856.430704,38848.0,59353.0,2.996607,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
144.0,1526756807.960478,123.0,123.0,0.013599,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
145.0,1526756863.437275,38848.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
146.0,1526756811.960519,123.0,123.0,0.010327,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
147.0,1526756867.441701,38849.0,59353.0,2.99559,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
148.0,1526756814.960598,123.0,123.0,0.013537,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
149.0,1526756874.447267,38849.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
150.0,1526756878.452688,38850.0,59353.0,2.994626,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
151.0,1526756885.457319,38850.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
152.0,1526756889.0,38851.0,59353.0,2.99839,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
153.0,1526756896.467393,38851.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
154.0,1526756900.470046,38852.0,59353.0,2.997308,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
155.0,1526756849.0,123.0,123.0,0.014915,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
156.0,1526756907.477326,38852.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
157.0,1526756911.481076,38853.0,59353.0,2.996283,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
158.0,1526756918.487314,38853.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
159.0,1526756922.492085,38854.0,59353.0,2.995253,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
160.0,1526756929.497404,38854.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
161.0,1526756875.960545,123.0,123.0,0.016074,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
162.0,1526756934.0,38855.0,59353.0,2.994168,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
163.0,1526756879.960641,123.0,123.0,0.010422,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
164.0,1526756882.0,123.0,123.0,0.013622,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
165.0,1526756940.507417,38855.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
166.0,1526756944.514136,38856.0,59353.0,2.993315,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
167.0,1526756951.517413,38856.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
168.0,1526756955.525171,38857.0,59353.0,2.992213,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
169.0,1526756962.527398,38857.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
170.0,1526756966.536214,38858.0,59353.0,2.991267,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
171.0,1526756915.960675,123.0,123.0,0.014326,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
172.0,1526756974.0,38858.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
173.0,1526756978.0,38859.0,59353.0,2.990349,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
174.0,1526756984.547463,38859.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
175.0,1526756988.558152,38860.0,59353.0,2.999281,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
176.0,1526756995.567479,38860.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
177.0,1526757000.0,38861.0,59353.0,2.998251,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
178.0,1526756944.960675,123.0,123.0,0.013431,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
179.0,1526756945.960655,123.0,123.0,0.010579,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
180.0,1526756951.0,123.0,123.0,0.014242,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
181.0,1526757006.577555,38861.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
182.0,1526757010.580312,38862.0,59353.0,2.997183,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
183.0,1526757017.587575,38862.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
184.0,1526757021.591458,38863.0,59353.0,2.995967,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
185.0,1526757028.597512,38863.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
186.0,1526757032.602326,38864.0,59353.0,2.99524,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
187.0,1526756981.960793,123.0,123.0,0.012789,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
188.0,1526757039.607571,38864.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
189.0,1526757043.613449,38865.0,59353.0,2.994193,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
190.0,1526757050.617554,38865.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
191.0,1526757054.624434,38866.0,59353.0,2.993036,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
192.0,1526757061.627538,38866.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
193.0,1526757065.635366,38867.0,59353.0,2.992217,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
194.0,1526757012.960837,123.0,123.0,0.013349,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
195.0,1526757013.960862,123.0,123.0,0.010057,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
196.0,1526757072.637605,38867.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
197.0,1526757018.0,123.0,123.0,0.013555,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
198.0,1526757076.638243,38868.0,59353.0,2.999388,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
199.0,1526757083.647607,38868.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
200.0,1526757087.649353,38869.0,59353.0,2.998189,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
201.0,1526757094.657528,38869.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
202.0,1526757099.0,38870.0,59353.0,2.99737,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
203.0,1526757048.960924,123.0,123.0,0.01483,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
204.0,1526757105.667503,38870.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
205.0,1526757109.671118,38871.0,59353.0,2.996402,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
206.0,1526757116.677412,38871.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
207.0,1526757120.682086,38872.0,59353.0,2.995285,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
208.0,1526757127.687424,38872.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
209.0,1526757131.693196,38873.0,59353.0,2.994154,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
210.0,1526757078.960924,123.0,123.0,0.01371,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
211.0,1526757079.960939,123.0,123.0,0.009727,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
212.0,1526757138.697354,38873.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
213.0,1526757086.0,123.0,123.0,0.025559,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
214.0,1526757143.0,38874.0,59353.0,2.993312,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
215.0,1526757149.707394,38874.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
216.0,1526757153.714993,38875.0,59353.0,2.992401,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
217.0,1526757160.717391,38875.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
