,,ClusterLabel
48.68,26.15,o
48.84,26.16,o
48.77,26.17,o
48.84,26.17,o
49.0,26.17,o
49.1,26.18,o
49.0,26.19,o
48.97,26.22,o
48.9,26.23,o
48.64,26.25,o
48.35,26.27,o
48.22,26.27,o
48.19,26.29,o
48.12,26.31,o
48.03,26.33,o
47.86,26.36,o
47.8,26.37,o
47.73,26.39,o
47.6,26.44,o
47.47,26.45,o
47.41,26.47,o
47.38,26.5,o
47.34,26.51,o
47.28,26.53,o
47.21,26.55,o
47.21,26.58,o
47.18,26.61,o
47.21,26.61,o
47.15,26.64,o
47.15,26.65,o
47.15,26.67,o
47.11,26.69,o
47.08,26.72,o
47.08,26.72,o
47.02,26.73,o
46.98,26.74,o
46.95,26.76,o
46.95,26.78,o
46.89,26.8,o
46.85,26.82,o
46.79,26.83,o
46.79,26.84,o
46.82,26.85,o
46.82,26.87,o
46.82,26.89,o
46.75,26.9,o
46.72,26.91,o
46.66,26.92,o
46.62,26.95,o
46.59,26.95,o
46.56,26.97,o
46.52,26.97,o
46.49,26.99,o
46.49,26.99,o
46.46,27.01,o
46.43,27.02,o
46.43,27.01,o
46.43,27.02,o
46.46,27.02,o
46.46,27.03,o
46.46,27.05,o
46.43,27.07,o
46.39,27.07,o
46.36,27.07,o
46.33,27.09,o
46.3,27.09,o
46.23,27.11,o
46.23,27.11,o
46.16,27.13,o
46.16,27.13,o
46.16,27.14,o
46.16,27.15,o
46.16,27.16,o
46.2,27.17,o
46.16,27.16,o
46.16,27.17,o
46.16,27.17,o
46.1,27.18,o
46.07,27.17,o
46.1,27.19,o
46.03,27.2,o
46.07,27.21,o
46.03,27.21,o
46.03,27.23,o
46.0,27.22,o
46.03,27.22,o
46.03,27.23,o
45.97,27.24,o
45.97,27.24,o
45.93,27.26,o
45.93,27.25,o
45.93,27.26,o
45.97,27.27,o
45.93,27.27,o
45.97,27.27,o
45.93,27.29,o
45.9,27.28,o
45.93,27.28,o
45.93,27.28,o
45.97,27.29,o
45.97,27.29,o
45.97,27.3,o
45.97,27.31,o
45.97,27.32,o
45.97,27.32,o
45.97,27.34,o
46.0,27.33,o
45.97,27.34,o
45.97,27.35,o
45.97,27.33,o
45.97,27.35,o
46.0,27.37,o
46.03,27.35,o
46.16,27.35,o
46.2,27.35,o
46.2,27.37,o
46.23,27.36,o
46.23,27.35,o
46.23,27.37,o
46.3,27.36,o
46.36,27.37,o
46.39,27.38,o
46.36,27.37,o
46.39,27.37,o
46.39,27.38,o
46.43,27.38,o
46.43,27.39,o
46.56,27.39,o
46.62,27.39,o
46.69,27.4,o
46.69,27.4,o
46.79,27.38,o
46.98,27.36,o
47.18,27.35,o
47.08,27.34,o
47.11,27.33,o
46.79,27.32,o
46.69,27.32,o
46.56,27.31,o
46.43,27.29,o
46.43,27.28,o
46.43,27.25,o
46.52,27.24,o
46.49,27.23,o
46.49,27.2,o
46.52,27.2,o
46.56,27.19,o
46.69,27.19,o
46.69,27.17,o
46.59,27.14,o
46.56,27.12,o
46.62,27.08,o
46.66,27.05,o
46.72,27.05,o
46.72,27.01,o
46.82,26.99,o
46.82,26.95,o
46.85,26.94,o
46.82,26.93,o
46.75,26.89,o
46.75,26.88,o
46.75,26.87,o
46.82,26.85,o
46.89,26.83,o
46.89,26.82,o
46.85,26.8,o
46.85,26.77,o
46.75,26.75,o
46.75,26.72,o
46.82,26.69,o
46.95,26.69,o
46.95,26.68,o
47.02,26.67,o
47.08,26.65,o
47.11,26.64,o
47.08,26.63,o
47.08,26.62,o
47.15,26.6,o
47.05,26.59,o
47.02,26.57,o
47.05,26.56,o
47.08,26.55,o
47.15,26.53,o
47.21,26.53,o
47.08,26.5,o
47.11,26.48,o
47.11,26.48,o
47.15,26.46,o
47.34,26.45,o
47.28,26.44,o
47.28,26.42,o
47.31,26.41,o
47.34,26.43,o
47.41,26.44,o
47.41,26.44,o
47.34,26.45,o
47.28,26.41,o
47.34,26.41,o
47.34,26.4,o
47.21,26.39,o
47.21,26.38,o
47.24,26.37,o
47.18,26.35,o
47.08,26.33,o
47.05,26.29,o
47.08,26.28,o
47.08,26.27,o
47.15,26.28,o
47.21,26.27,o
47.38,26.28,o
47.31,26.27,o
47.34,26.26,o
47.34,26.26,o
47.44,26.26,o
47.47,26.26,o
47.47,26.27,o
47.41,26.26,o
47.44,26.25,o
47.41,26.24,o
47.24,26.22,o
47.31,26.21,o
47.34,26.21,o
47.31,26.21,o
47.21,26.22,o
47.21,26.19,o
47.21,26.21,o
47.15,26.21,o
47.21,26.19,o
47.21,26.19,o
47.21,26.19,o
47.31,26.17,o
47.34,26.17,o
47.38,26.18,o
47.41,26.17,o
47.34,26.17,o
47.31,26.16,o
47.31,26.16,o
47.11,26.11,o
47.21,26.11,o
47.15,26.08,o
47.31,26.09,o
47.21,26.08,o
47.28,26.07,o
47.24,26.07,o
47.24,26.06,o
47.21,26.06,o
47.18,26.05,o
47.28,26.05,o
47.28,26.05,o
47.34,26.05,o
47.28,26.04,o
47.28,26.03,o
47.31,26.04,o
47.34,26.02,o
47.34,26.01,o
47.44,26.03,o
47.38,26.0,o
47.38,26.01,o
47.41,26.01,o
47.38,26.01,o
47.34,26.01,o
47.38,26.01,o
47.28,26.01,o
47.24,25.99,o
47.24,26.0,o
47.24,25.97,o
47.34,25.99,o
47.31,25.97,o
47.41,25.97,o
47.34,25.97,o
47.38,25.99,o
47.34,25.98,o
47.34,25.96,o
47.34,25.95,o
47.34,25.94,o
47.34,25.95,o
47.34,25.93,o
47.34,25.93,o
47.31,25.93,o
47.31,25.95,o
47.28,25.94,o
47.24,25.93,o
47.31,25.94,o
47.34,25.94,o
47.28,25.94,o
47.34,25.94,o
47.34,25.95,o
47.28,25.94,o
47.24,25.94,o
47.24,25.97,o
47.31,25.95,o
47.6,25.94,o
47.67,25.95,o
47.77,25.95,o
47.9,25.94,o
47.93,25.95,o
48.19,25.94,o
48.58,25.95,o
48.77,25.93,o
48.74,25.95,o
48.81,25.95,o
48.77,25.97,o
49.19,25.99,o
48.97,26.01,o
48.58,26.01,o
48.38,26.04,o
48.29,26.05,o
48.06,26.07,o
47.86,26.09,o
47.7,26.12,o
47.6,26.13,o
47.47,26.16,o
47.41,26.17,o
47.34,26.2,o
47.24,26.21,o
47.18,26.23,o
47.18,26.26,o
47.18,26.27,o
47.18,26.3,o
47.15,26.31,o
47.08,26.33,o
47.08,26.35,o
47.02,26.37,o
46.98,26.4,o
46.92,26.42,o
46.85,26.43,o
46.82,26.45,o
46.75,26.48,o
46.72,26.5,o
46.69,26.51,o
46.66,26.52,o
46.62,26.54,o
46.62,26.55,o
46.62,26.56,o
46.56,26.57,o
46.56,26.59,o
46.49,26.6,o
46.49,26.61,o
46.43,26.63,o
46.43,26.64,o
46.39,26.66,o
46.36,26.67,o
46.36,26.68,o
46.3,26.68,o
46.26,26.7,o
46.23,26.71,o
46.2,26.72,o
46.16,26.74,o
46.16,26.75,o
46.13,26.76,o
46.13,26.75,o
46.13,26.77,o
46.1,26.78,o
46.1,26.78,o
46.1,26.79,o
46.1,26.81,o
46.07,26.81,o
46.03,26.81,o
46.03,26.82,o
46.03,26.83,o
46.03,26.84,o
46.03,26.86,o
46.03,26.86,o
46.03,26.87,o
46.03,26.88,o
45.97,26.89,o
45.97,26.89,o
45.97,26.91,o
45.93,26.91,o
45.93,26.92,o
45.9,26.93,o
45.87,26.93,o
45.9,26.94,o
45.87,26.95,o
45.87,26.94,o
45.9,26.95,o
45.87,26.95,o
45.87,26.96,o
45.84,26.97,o
45.84,26.97,o
45.8,26.98,o
45.77,26.98,o
45.77,26.98,o
45.7,26.99,o
45.74,26.99,o
45.74,27.01,o
45.7,27.01,o
45.7,27.02,o
45.7,27.03,o
45.7,27.03,o
45.7,27.03,o
45.7,27.04,o
45.7,27.05,o
45.7,27.05,o
45.7,27.05,o
45.7,27.05,o
45.7,27.05,o
45.7,27.06,o
45.7,27.05,o
45.7,27.06,o
45.7,27.07,o
45.77,27.07,o
45.77,27.07,o
45.84,27.08,o
45.84,27.1,o
45.84,27.11,o
45.84,27.11,o
45.8,27.12,o
45.77,27.13,o
45.77,27.13,o
45.77,27.13,o
45.8,27.14,o
45.8,27.13,o
45.84,27.13,o
45.84,27.13,o
45.84,27.13,o
45.84,27.13,o
45.84,27.13,o
45.84,27.13,o
45.84,27.13,o
45.87,27.14,o
45.9,27.14,o
45.9,27.15,o
45.9,27.14,o
45.9,27.15,o
45.97,27.16,o
45.97,27.17,o
46.03,27.17,o
46.03,27.18,o
46.03,27.17,o
46.07,27.18,o
46.1,27.19,o
46.1,27.19,o
46.1,27.19,o
46.16,27.18,o
46.23,27.19,o
46.3,27.19,o
46.3,27.2,o
46.36,27.19,o
46.43,27.19,o
46.49,27.19,o
46.46,27.19,o
46.49,27.2,o
46.46,27.21,o
46.46,27.21,o
46.43,27.21,o
46.43,27.22,o
46.43,27.23,o
46.49,27.23,o
46.52,27.23,o
46.49,27.2,o
46.62,27.2,o
46.62,27.18,o
46.66,27.17,o
46.62,27.15,o
46.49,27.15,o
46.36,27.14,o
46.2,27.14,o
46.03,27.12,o
46.1,27.1,o
46.23,27.09,o
46.23,27.07,o
46.23,27.04,o
46.43,27.03,o
46.43,27.02,o
46.49,27.0,o
46.52,26.99,o
46.36,26.97,o
46.43,26.97,o
46.52,26.97,o
46.52,26.95,o
46.56,26.91,o
46.56,26.9,o
46.56,26.88,o
46.56,26.85,o
46.49,26.8,o
46.66,26.77,o
46.72,26.77,o
46.72,26.76,o
46.72,26.73,o
46.69,26.71,o
46.75,26.69,o
46.79,26.67,o
46.75,26.65,o
46.82,26.64,o
46.75,26.62,o
46.79,26.61,o
46.69,26.59,o
46.82,26.59,o
46.82,26.56,o
46.85,26.56,o
46.95,26.55,o
46.98,26.51,o
47.02,26.51,o
46.95,26.49,o
46.95,26.48,o
46.95,26.47,o
46.98,26.45,o
46.95,26.43,o
46.95,26.41,o
46.95,26.4,o
46.92,26.38,o
46.82,26.35,o
46.85,26.33,o
46.95,26.31,o
46.89,26.31,o
46.89,26.31,o
46.92,26.31,o
46.95,26.3,o
47.02,26.29,o
46.95,26.25,o
46.98,26.24,o
47.05,26.22,o
47.05,26.22,o
47.08,26.21,o
47.18,26.19,o
47.24,26.19,o
47.24,26.18,o
47.21,26.15,o
47.24,26.16,o
47.31,26.16,o
47.21,26.15,o
47.15,26.13,o
47.11,26.11,o
46.95,26.09,o
46.95,26.09,o
47.05,26.08,o
47.08,26.09,o
47.18,26.1,o
47.24,26.09,o
47.24,26.09,o
47.28,26.08,o
47.28,26.08,o
47.28,26.08,o
47.24,26.06,o
47.18,26.03,o
47.21,26.0,o
47.28,26.01,o
47.24,26.01,o
47.18,26.01,o
47.11,25.99,o
47.21,25.98,o
47.18,25.99,o
47.15,25.99,o
47.18,25.99,o
47.15,25.99,o
47.21,25.99,o
47.11,25.99,o
47.08,26.0,o
47.05,25.97,o
47.05,25.95,o
47.11,25.93,o
47.18,25.91,o
47.18,25.9,o
47.15,25.87,o
47.18,25.87,o
47.21,25.87,o
47.21,25.87,o
47.24,25.89,o
47.21,25.89,o
47.15,25.9,o
47.11,25.9,o
47.05,25.89,o
47.02,25.89,o
47.08,25.87,o
47.08,25.88,o
47.02,25.89,o
47.02,25.89,o
47.02,25.88,o
47.08,25.87,o
47.11,25.87,o
47.08,25.85,o
47.08,25.86,o
47.11,25.84,o
47.11,25.84,o
47.11,25.85,o
47.11,25.84,o
47.15,25.83,o
47.08,25.83,o
47.08,25.83,o
47.02,25.85,o
46.85,25.81,o
46.95,25.81,o
47.02,25.81,o
47.02,25.81,o
47.02,25.83,o
47.02,25.81,o
47.02,25.79,o
47.02,25.78,o
47.08,25.77,o
47.08,25.78,o
47.11,25.77,o
47.15,25.77,o
47.08,25.77,o
47.08,25.75,o
47.15,25.75,o
47.21,25.77,o
47.28,25.78,o
47.38,25.78,o
47.54,25.79,o
47.83,25.78,o
47.93,25.77,o
48.29,25.75,o
48.35,25.77,o
48.48,25.77,o
48.58,25.77,o
48.84,25.77,o
48.55,25.79,o
48.58,25.79,o
48.68,25.8,o
48.45,25.83,o
48.32,25.85,o
47.99,25.87,o
47.73,25.88,o
47.6,25.9,o
47.54,25.91,o
47.47,25.93,o
47.41,25.95,o
47.31,25.96,o
47.31,25.99,o
47.28,26.01,o
47.28,26.04,o
47.21,26.06,o
47.15,26.07,o
47.05,26.09,o
46.95,26.13,o
46.92,26.15,o
46.89,26.17,o
46.82,26.19,o
46.79,26.21,o
46.75,26.23,o
46.72,26.25,o
46.69,26.27,o
46.69,26.28,o
46.66,26.31,o
46.62,26.31,o
46.59,26.33,o
46.56,26.35,o
46.56,26.35,o
46.49,26.37,o
46.46,26.39,o
46.43,26.4,o
46.46,26.42,o
46.43,26.42,o
46.43,26.44,o
46.36,26.47,o
46.33,26.47,o
46.3,26.48,o
46.3,26.5,o
46.26,26.51,o
46.33,26.52,o
46.33,26.53,o
46.33,26.55,o
46.33,26.56,o
46.33,26.55,o
46.3,26.57,o
46.3,26.59,o
46.23,26.59,o
46.23,26.6,o
46.16,26.6,o
46.13,26.62,o
46.1,26.61,o
46.03,26.63,o
46.03,26.63,o
45.97,26.65,o
45.97,26.66,o
45.97,26.66,o
45.93,26.68,o
45.9,26.69,o
45.9,26.71,o
45.84,26.7,o
45.77,26.71,o
45.77,26.71,o
45.77,26.73,o
45.7,26.73,o
45.7,26.73,o
45.74,26.75,o
45.7,26.74,o
45.74,26.75,o
45.74,26.75,o
45.74,26.76,o
45.7,26.78,o
45.7,26.79,o
45.74,26.79,o
45.74,26.8,o
45.77,26.81,o
45.74,26.81,o
45.74,26.83,o
45.7,26.83,o
45.7,26.84,o
45.7,26.84,o
45.67,26.85,o
45.67,26.85,o
45.64,26.85,o
45.64,26.86,o
45.6,26.87,o
45.6,26.87,o
45.57,26.88,o
45.6,26.89,o
45.57,26.89,o
45.57,26.89,o
45.57,26.89,o
45.57,26.91,o
45.57,26.92,o
45.64,26.91,o
45.64,26.92,o
45.64,26.91,o
45.67,26.93,o
45.67,26.92,o
45.67,26.93,o
45.7,26.92,o
45.7,26.93,o
45.7,26.93,o
45.7,26.93,o
45.67,26.94,o
45.67,26.93,o
45.7,26.94,o
45.8,26.93,o
45.97,26.94,o
46.0,26.93,o
45.93,26.95,o
45.87,26.96,o
45.8,26.96,o
45.77,26.98,o
45.77,26.98,o
45.8,26.98,o
45.8,26.98,o
45.77,26.99,o
45.77,27.01,o
45.7,27.01,o
45.67,27.01,o
45.64,27.02,o
45.64,27.03,o
45.7,27.04,o
45.7,27.03,o
45.74,27.03,o
45.8,27.04,o
45.77,27.04,o
45.77,27.04,o
45.84,27.04,o
45.84,27.04,o
45.84,27.04,o
45.84,27.05,o
45.77,27.04,o
45.74,27.05,o
45.7,27.05,o
45.77,27.06,o
45.84,27.06,o
45.84,27.07,o
45.84,27.07,o
45.8,27.08,o
45.77,27.07,o
45.77,27.07,o
45.8,27.08,o
45.84,27.08,o
45.84,27.07,o
45.84,27.07,o
45.77,27.09,o
45.8,27.08,o
45.87,27.08,o
45.9,27.08,o
45.93,27.08,o
