,,ClusterLabel
44.85,28.51,o
44.81,28.51,o
44.85,28.51,o
44.81,28.51,o
44.85,28.53,o
44.85,28.52,o
44.85,28.5,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.88,28.51,o
44.88,28.51,o
44.88,28.51,o
44.88,28.52,o
44.91,28.51,o
44.91,28.51,o
44.91,28.53,o
44.91,28.52,o
44.88,28.52,o
44.88,28.53,o
44.88,28.53,o
44.88,28.52,o
44.88,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.88,28.53,o
44.91,28.52,o
44.91,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.54,o
44.91,28.52,o
44.88,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.88,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.56,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.56,o
44.91,28.56,o
44.91,28.56,o
44.91,28.57,o
44.91,28.55,o
44.91,28.56,o
44.91,28.55,o
44.91,28.57,o
44.91,28.56,o
44.91,28.55,o
44.91,28.56,o
44.88,28.57,o
44.91,28.57,o
44.91,28.57,o
44.91,28.56,o
44.91,28.56,o
44.88,28.56,o
44.88,28.56,o
44.88,28.57,o
44.85,28.56,o
44.88,28.56,o
44.91,28.57,o
44.88,28.56,o
44.91,28.57,o
44.85,28.57,o
44.85,28.57,o
44.88,28.55,o
44.88,28.56,o
44.85,28.56,o
44.85,28.57,o
44.85,28.56,o
44.85,28.56,o
44.85,28.57,o
44.88,28.58,o
44.85,28.57,o
44.85,28.57,o
44.88,28.57,o
44.88,28.59,o
44.85,28.57,o
44.85,28.58,o
44.85,28.57,o
44.85,28.58,o
44.85,28.58,o
44.88,28.58,o
44.85,28.59,o
44.85,28.57,o
44.88,28.58,o
44.88,28.58,o
44.85,28.59,o
44.85,28.58,o
44.85,28.57,o
44.85,28.57,o
44.85,28.58,o
44.85,28.58,o
44.85,28.59,o
44.85,28.58,o
44.85,28.58,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.58,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.61,o
44.85,28.59,o
44.85,28.59,o
44.81,28.6,o
44.85,28.59,o
44.81,28.6,o
44.85,28.59,o
44.85,28.59,o
44.85,28.61,o
44.85,28.59,o
44.85,28.6,o
44.85,28.61,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.6,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.6,o
44.81,28.6,o
44.85,28.62,o
44.85,28.61,o
44.85,28.61,o
44.81,28.61,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.62,o
44.85,28.61,o
44.85,28.61,o
44.85,28.62,o
44.85,28.62,o
44.81,28.61,o
44.81,28.62,o
44.81,28.61,o
44.81,28.62,o
44.85,28.63,o
44.85,28.64,o
44.85,28.62,o
44.85,28.62,o
44.81,28.63,o
44.85,28.63,o
44.85,28.63,o
44.81,28.62,o
44.81,28.63,o
44.81,28.62,o
44.81,28.64,o
44.81,28.64,o
44.81,28.64,o
44.81,28.63,o
44.81,28.64,o
44.78,28.63,o
44.81,28.63,o
44.81,28.64,o
44.78,28.64,o
44.81,28.65,o
44.81,28.65,o
44.78,28.64,o
44.81,28.65,o
44.81,28.65,o
44.78,28.64,o
44.78,28.64,o
44.81,28.64,o
44.78,28.65,o
44.78,28.64,o
44.81,28.65,o
44.81,28.66,o
44.81,28.66,o
44.78,28.67,o
44.78,28.66,o
44.78,28.65,o
44.81,28.65,o
44.78,28.67,o
44.81,28.66,o
44.81,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.81,28.68,o
44.78,28.68,o
44.78,28.68,o
44.78,28.68,o
44.78,28.67,o
44.81,28.68,o
44.81,28.68,o
44.81,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.68,o
44.78,28.68,o
44.81,28.67,o
44.78,28.67,o
44.78,28.67,o
44.81,28.67,o
44.81,28.68,o
44.81,28.67,o
44.85,28.68,o
44.85,28.68,o
44.81,28.68,o
44.81,28.69,o
44.78,28.68,o
44.85,28.67,o
44.81,28.69,o
44.81,28.67,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.85,28.68,o
44.81,28.69,o
44.81,28.68,o
44.85,28.69,o
44.81,28.69,o
44.85,28.68,o
44.85,28.69,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.68,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.69,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.7,o
44.85,28.71,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.7,o
44.85,28.71,o
44.85,28.7,o
44.88,28.7,o
44.88,28.7,o
44.85,28.7,o
44.88,28.71,o
44.85,28.7,o
44.85,28.7,o
44.88,28.71,o
44.95,28.7,o
44.98,28.7,o
45.04,28.71,o
45.01,28.71,o
45.04,28.7,o
45.04,28.69,o
45.04,28.69,o
45.08,28.7,o
45.14,28.69,o
45.18,28.7,o
45.21,28.71,o
45.21,28.7,o
45.18,28.71,o
45.21,28.7,o
45.21,28.71,o
45.24,28.71,o
45.21,28.69,o
45.21,28.69,o
45.21,28.7,o
45.18,28.7,o
45.18,28.69,o
45.21,28.69,o
45.18,28.71,o
45.18,28.7,o
45.18,28.71,o
45.14,28.71,o
45.14,28.71,o
45.11,28.71,o
45.11,28.71,o
45.11,28.71,o
45.11,28.7,o
45.11,28.7,o
45.11,28.69,o
45.11,28.69,o
45.11,28.68,o
45.11,28.68,o
45.11,28.69,o
45.11,28.69,o
45.11,28.71,o
45.11,28.71,o
45.08,28.71,o
45.11,28.71,o
45.11,28.71,o
45.08,28.7,o
45.11,28.7,o
45.11,28.69,o
45.11,28.69,o
45.11,28.7,o
45.11,28.69,o
45.11,28.7,o
45.11,28.71,o
45.11,28.71,o
45.08,28.71,o
45.04,28.71,o
45.04,28.72,o
45.04,28.73,o
45.04,28.72,o
45.04,28.71,o
45.04,28.71,o
45.08,28.71,o
45.04,28.71,o
45.04,28.72,o
45.04,28.71,o
45.04,28.72,o
45.08,28.71,o
45.08,28.7,o
45.08,28.7,o
45.04,28.7,o
45.04,28.71,o
45.04,28.71,o
45.04,28.69,o
45.04,28.7,o
45.04,28.71,o
45.04,28.73,o
45.04,28.71,o
45.04,28.73,o
44.98,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.04,28.74,o
45.04,28.73,o
45.04,28.73,o
45.04,28.72,o
45.04,28.72,o
45.04,28.73,o
45.04,28.73,o
45.04,28.73,o
45.04,28.72,o
45.08,28.73,o
45.01,28.73,o
45.01,28.73,o
44.98,28.74,o
44.98,28.73,o
45.04,28.73,o
45.08,28.73,o
45.14,28.74,o
45.18,28.73,o
45.18,28.73,o
45.21,28.73,o
45.21,28.73,o
45.24,28.72,o
45.24,28.73,o
45.24,28.73,o
45.24,28.73,o
45.28,28.73,o
45.24,28.73,o
45.28,28.73,o
45.21,28.72,o
45.11,28.72,o
45.04,28.7,o
45.04,28.7,o
45.11,28.7,o
45.18,28.71,o
45.21,28.71,o
45.24,28.72,o
45.21,28.71,o
45.24,28.71,o
45.24,28.71,o
45.24,28.73,o
45.18,28.71,o
45.14,28.71,o
45.14,28.72,o
45.14,28.71,o
45.11,28.71,o
45.18,28.73,o
45.11,28.72,o
45.11,28.72,o
45.11,28.72,o
45.11,28.73,o
45.11,28.74,o
45.11,28.73,o
45.11,28.73,o
45.11,28.73,o
45.14,28.74,o
45.18,28.73,o
45.18,28.72,o
45.18,28.73,o
45.11,28.73,o
45.11,28.73,o
45.08,28.73,o
45.08,28.73,o
45.04,28.73,o
45.08,28.73,o
45.04,28.73,o
45.04,28.73,o
45.04,28.73,o
45.08,28.73,o
45.04,28.73,o
45.08,28.73,o
45.08,28.74,o
45.08,28.74,o
45.08,28.74,o
45.04,28.73,o
45.04,28.73,o
45.04,28.74,o
45.04,28.73,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.73,o
45.08,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
44.98,28.74,o
44.98,28.74,o
44.98,28.74,o
45.01,28.73,o
45.01,28.73,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.74,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.74,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.76,o
44.98,28.76,o
44.98,28.76,o
44.95,28.76,o
44.98,28.77,o
44.98,28.75,o
44.98,28.76,o
44.98,28.76,o
44.98,28.77,o
44.98,28.77,o
44.95,28.77,o
44.95,28.76,o
44.95,28.76,o
44.91,28.76,o
44.95,28.76,o
44.95,28.76,o
44.98,28.77,o
44.98,28.76,o
44.98,28.77,o
44.98,28.77,o
44.98,28.77,o
44.95,28.76,o
44.95,28.75,o
44.91,28.77,o
44.91,28.76,o
44.95,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.95,28.77,o
44.12,28.75,o
44.08,28.74,o
43.98,28.75,o
43.95,28.74,o
43.95,28.75,o
43.98,28.75,o
43.98,28.76,o
43.92,28.75,o
43.85,28.73,o
43.85,28.73,o
43.92,28.74,o
43.85,28.74,o
43.82,28.74,o
43.82,28.73,o
43.85,28.74,o
43.85,28.73,o
43.85,28.73,o
43.82,28.73,o
43.79,28.72,o
43.79,28.72,o
43.82,28.73,o
43.85,28.73,o
43.85,28.73,o
43.82,28.72,o
43.79,28.73,o
43.79,28.72,o
43.72,28.74,o
43.75,28.74,o
43.75,28.73,o
43.72,28.74,o
43.65,28.74,o
43.65,28.75,o
43.62,28.74,o
43.65,28.73,o
43.65,28.74,o
43.62,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.76,o
43.65,28.76,o
43.59,28.75,o
43.55,28.75,o
43.55,28.75,o
43.55,28.74,o
43.52,28.75,o
43.49,28.74,o
43.45,28.74,o
43.45,28.75,o
43.45,28.75,o
43.45,28.75,o
43.45,28.75,o
43.45,28.74,o
43.42,28.75,o
43.45,28.74,o
43.45,28.74,o
43.45,28.75,o
43.39,28.74,o
43.39,28.75,o
43.42,28.76,o
43.35,28.76,o
43.39,28.75,o
43.32,28.74,o
43.29,28.75,o
43.29,28.75,o
43.32,28.74,o
43.29,28.75,o
43.25,28.75,o
43.22,28.75,o
43.22,28.75,o
43.19,28.73,o
43.22,28.73,o
43.25,28.72,o
43.22,28.72,o
43.25,28.74,o
43.25,28.73,o
43.35,28.74,o
43.32,28.74,o
43.25,28.74,o
43.22,28.73,o
43.19,28.74,o
43.12,28.74,o
43.12,28.75,o
43.12,28.73,o
43.12,28.75,o
43.12,28.75,o
43.12,28.74,o
43.09,28.75,o
43.05,28.75,o
43.05,28.74,o
43.09,28.74,o
43.12,28.74,o
43.12,28.75,o
43.09,28.75,o
43.09,28.75,o
43.05,28.75,o
43.05,28.73,o
43.02,28.73,o
43.05,28.74,o
43.09,28.76,o
43.12,28.75,o
43.05,28.75,o
43.05,28.73,o
42.99,28.74,o
42.85,28.7,o
42.69,28.67,o
42.72,28.66,o
42.72,28.64,o
43.12,28.64,o
43.69,28.65,o
44.38,28.64,o
43.98,28.63,o
43.95,28.58,o
43.79,28.55,o
44.32,28.54,o
44.65,28.52,o
44.78,28.52,o
44.91,28.52,o
44.98,28.55,o
44.98,28.57,o
45.01,28.57,o
44.88,28.58,o
44.71,28.6,o
44.65,28.61,o
44.61,28.62,o
44.58,28.61,o
44.48,28.59,o
44.55,28.58,o
44.61,28.58,o
44.68,28.6,o
44.78,28.6,o
44.81,28.6,o
44.85,28.62,o
44.91,28.63,o
44.95,28.64,o
44.91,28.65,o
44.71,28.65,o
44.71,28.66,o
44.68,28.67,o
44.65,28.67,o
44.65,28.67,o
44.71,28.67,o
44.78,28.68,o
44.85,28.69,o
44.88,28.69,o
44.91,28.7,o
44.98,28.71,o
44.98,28.71,o
44.95,28.7,o
44.91,28.7,o
44.88,28.71,o
44.85,28.7,o
44.75,28.69,o
44.71,28.69,o
44.75,28.69,o
44.78,28.69,o
44.85,28.7,o
44.85,28.7,o
44.88,28.7,o
44.81,28.69,o
44.78,28.71,o
44.75,28.7,o
44.75,28.7,o
44.78,28.7,o
44.75,28.69,o
44.78,28.71,o
44.78,28.7,o
44.71,28.71,o
44.65,28.69,o
44.52,28.67,o
44.48,28.65,o
44.48,28.63,o
44.52,28.63,o
44.52,28.63,o
44.55,28.62,o
44.58,28.62,o
44.68,28.61,o
44.71,28.61,o
44.78,28.6,o
44.88,28.6,o
44.88,28.6,o
44.88,28.62,o
44.85,28.63,o
44.88,28.61,o
45.04,28.61,o
45.01,28.6,o
44.78,28.57,o
44.71,28.54,o
44.78,28.53,o
44.71,28.54,o
44.75,28.54,o
44.71,28.54,o
44.71,28.54,o
44.61,28.53,o
44.58,28.51,o
44.58,28.51,o
44.58,28.5,o
44.58,28.5,o
44.58,28.48,o
44.58,28.5,o
44.52,28.47,o
44.52,28.47,o
44.48,28.44,o
44.48,28.43,o
44.45,28.43,o
44.45,28.44,o
44.42,28.43,o
44.42,28.43,o
44.38,28.43,o
44.35,28.43,o
44.35,28.41,o
44.35,28.41,o
44.35,28.39,o
44.35,28.41,o
44.35,28.41,o
44.32,28.4,o
44.32,28.35,o
44.35,28.36,o
44.38,28.35,o
44.38,28.37,o
44.35,28.38,o
44.35,28.38,o
44.32,28.36,o
44.28,28.35,o
44.25,28.35,o
44.22,28.34,o
44.22,28.34,o
44.18,28.34,o
44.18,28.31,o
44.18,28.32,o
44.18,28.32,o
44.18,28.31,o
44.18,28.3,o
44.15,28.31,o
44.18,28.3,o
44.18,28.3,o
44.18,28.29,o
44.18,28.27,o
44.22,28.28,o
44.22,28.28,o
44.18,28.29,o
44.15,28.27,o
44.12,28.25,o
44.15,28.23,o
44.15,28.22,o
44.18,28.2,o
44.18,28.23,o
44.12,28.22,o
44.08,28.21,o
44.08,28.21,o
44.08,28.21,o
44.08,28.22,o
44.05,28.22,o
44.08,28.2,o
44.08,28.21,o
44.08,28.22,o
44.08,28.23,o
44.05,28.23,o
44.05,28.25,o
44.05,28.24,o
44.05,28.24,o
44.02,28.23,o
43.98,28.21,o
43.98,28.23,o
43.95,28.24,o
43.92,28.23,o
43.88,28.23,o
43.88,28.23,o
43.88,28.22,o
43.85,28.21,o
43.85,28.21,o
43.88,28.21,o
43.88,28.18,o
43.92,28.17,o
43.92,28.16,o
43.98,28.15,o
43.98,28.14,o
43.98,28.12,o
43.98,28.13,o
43.98,28.13,o
43.98,28.13,o
43.95,28.14,o
43.92,28.15,o
43.88,28.14,o
43.88,28.13,o
43.88,28.15,o
43.85,28.13,o
43.85,28.13,o
43.85,28.13,o
43.85,28.14,o
43.85,28.15,o
43.79,28.15,o
43.79,28.13,o
43.85,28.14,o
43.82,28.15,o
43.82,28.13,o
43.82,28.11,o
43.79,28.13,o
43.79,28.14,o
43.79,28.13,o
43.79,28.12,o
43.79,28.13,o
43.72,28.13,o
43.72,28.13,o
43.72,28.12,o
43.72,28.13,o
43.69,28.11,o
43.69,28.11,o
43.69,28.09,o
43.72,28.1,o
43.72,28.11,o
43.65,28.09,o
43.69,28.1,o
43.72,28.11,o
43.72,28.1,o
43.72,28.11,o
43.69,28.11,o
43.69,28.1,o
43.69,28.11,o
43.65,28.1,o
43.65,28.11,o
43.62,28.09,o
43.62,28.1,o
43.59,28.12,o
43.59,28.1,o
43.59,28.11,o
43.59,28.1,o
43.59,28.09,o
46.0,28.14,o
45.7,28.18,o
44.98,28.17,o
44.38,28.15,o
44.12,28.15,o
44.05,28.17,o
43.92,28.16,o
43.85,28.16,o
43.85,28.17,o
43.85,28.16,o
43.82,28.15,o
43.79,28.13,o
43.79,28.13,o
43.85,28.11,o
43.92,28.11,o
43.92,28.09,o
43.95,28.09,o
43.98,28.09,o
43.95,28.09,o
43.92,28.07,o
43.92,28.1,o
43.88,28.1,o
43.85,28.11,o
43.88,28.1,o
43.85,28.08,o
43.85,28.07,o
43.85,28.05,o
43.88,28.04,o
43.92,28.04,o
43.92,28.02,o
43.85,28.02,o
43.85,28.03,o
43.82,28.03,o
43.85,28.03,o
43.79,28.03,o
43.79,28.0,o
43.79,28.01,o
43.79,28.02,o
43.79,28.01,o
43.79,27.99,o
43.79,28.0,o
43.79,27.99,o
43.75,28.01,o
43.75,28.02,o
43.72,28.04,o
43.72,28.03,o
43.65,28.02,o
43.65,28.01,o
43.65,28.01,o
43.65,28.01,o
43.65,27.99,o
43.65,27.99,o
43.62,27.98,o
